CO_ID;LAT_N;SALIDA;CT_1;CT_2;CT_3;CT_4;CT_4*;CT_5;CT_6;CT_7;CT_8;CT_9;CT_10;CT_11;CT_12;CT_13;CT_14;HAR_PJ1;HAR_PJ2;HAR_PJ3;HAR_PJ4;HAR_PJ4*;HAR_PJ5;HAR_PJ6;HAR_PJ7;HAR_PJ8;HAR_PJ9;HAR_PJ10;HAR_PJ11;HAR_PJ12;HAR_PJ13;HAR_PJ14;JU_MAN1;JU_MAN2;JU_MAN3;JU_MAN4;JU_MAN4*;JU_MAN5;JU_MAN6;JU_MAN7;JU_MAN8;JU_MAN9;JU_MAN10;JU_MAN11;JU_MAN12;JU_MAN13;JU_MAN14;MAND1;MAND2;MAND3;MAND4;MAND5;MAND6;MAND7;MAND8;MAND9;MAND10;MAND11;MAND12;MAND13;MAND14;TEMT1;TEMT2;TEMT3;TEMT4;TEMT4*;TEMT5;TEMT6;TEMT7;TEMT8;TEMT9;TEMT10;TEMT11;TEMT12;TEMT13;TEMT14;YAR1;YAR2;YAR3;YAR4;YAR4*;YAR5;YAR6;YAR7;YAR8;YAR9;YAR10;YAR11;YAR12;YAR13;YAR14;AOESV1;ESTACIONALIDAD;N_RIO
9_180812;5,66810347; ;0;0;0;   0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
10_180812;6,001222417; ;0;0;0;   0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
11_180812;5,98793267; ;0;0;0;   0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
12_180812;5,98793267; ;0;0;0;   0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
13_180812;6,001222417; ;0;0;0;   0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
14_180812;6,001222417; ;0;0;0;   0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
15_180812;6,001222417; ;1;2;   ;       ;;49;20;0;0;0;3;11;18;  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
16_180812;5,911934827; ;1;2;   ;       ;;20;25;0;0;0;3;11;18;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
17_180812;5,546794776; ;0;0;0;   0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; 0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
