CO_ID;LAT_N;SALIDA;MANA1;MANA2;MANA3;MANA4;MANA5;MANA6;MANA7;MANA8;MANA9;MANA10;MANA11;MANA12;MANA13;MANA14;MAND1;MAND2;MAND3;MAND4;MAND5;MAND6;MAND7;MAND8;MAND9;MAND10;MAND11;MAND12;MAND13;MAND14;MAY_P1;MAY_P2;MAY_P3;MAY_P4;MAY_P5;MAY_P6;MAY_P7;MAY_P8;MAY_P9;MAY_P10;MAY_P11;MAY_P12;MAY_P13;MAY_P14;MAYO_1;MAYO_2;MAYO_3;MAYO_4;MAYO_5;MAYO_6;MAYO_7;MAYO_8;MAYO_9;MAYO_10;MAYO_11;MAYO_12;MAYO_13;MAYO_14;MAP_1;MAP_2;MAP_3;MAP_4;MAP_5;MAP_6;MAP_7;MAP_8;MAP_9;MAP_10;MAP_11;MAP_12;MAP_13;MAP_14;LAPA_1;LAPA_2;LAPA_3;LAPA_4;LAPA_5;LAPA_6;LAPA_7;LAPA_8;LAPA_9;LAPA_10;LAPA_11;LAPA_12;LAPA_13;LAPA_14;NIYA_1;NIYA_2;NIYA_3;NIYA_4;NIYA_5;NIYA_6;NIYA_7;NIYA_8;NIYA_9;NIYA_10;NIYA_11;NIYA_12;NIYA_13;NIYA_14;AOESV1;ESTACIONALIDAD;N_RIO
9_180812;5,66810347; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;146;120;1; 15.00;0;  0.00;0;3;11;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
10_180812;6,001222417; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;  0.00;0;  0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
11_180812;5,98793267; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;  0.00;0;  0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
12_180812;5,98793267; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;  0.00;0;  0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
13_180812;6,001222417; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;  0.00;0;  0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
14_180812;6,001222417; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;  0.00;0;  0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
15_180812;6,001222417; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;  0.00;0;  0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
16_180812;5,911934827; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;  0.00;0;  0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
17_180812;5,546794776; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;134;45;1; 15.00;0;  0.00;0;3;11;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
