ALIMENTO1,NOMBRE,
,AJI_PI,Aji Picante
,AJI_D,Ají Dulce
,AJI_M,Ají Molido
,ALM,Almidón
,AN,Anón
,AU,Auyama
,BB_A ,Babo Asado
,BC_C ,Bachaco Culón
,BC_PA ,Bachaco Picante
,BC_V ,Bachacos Tamari
,BG,Bagre
,BG_R,Bagre rayado
,BG_S,Bagre sierra
,BT,Batata 
,BG_BP,Bagre blanco Pobre
,BCH ,Bocachico
,BOCON ,Bocón
,BJ, Bojote Pesc
,CACAO ,Cacao Barra
,CHMTO,Cachamoto
,CAJA,Cajaro
,CAZUC ,CañaAzúcar
,CARIB ,Caribe
,Caru,Carurú
,CSB,Casabe
,CSB_AL ,Casabe Almidón
,CT_ ,Catara
,CEB,Cebolla
,CHIQ,Chiquichiqui
,CIL , Cilantro
,COC,Cocura
,COP,Copoasú
,COPOR, Coporo
,GRUY,Corazón BlancoGruya
,CUC_S,Cucuito Sancochado
,CUR,Curbina
,DNT-S,Danto Salado
,DLEC ,Dulce lechosa
,FRI,Frijol
,GALL,Gallina Roja
,GUAD,Guada
,GUAM,Guama
,GUAR,Guarubé
,ARA,Guayaba Arazá
,HAR_PJ ,Harina  pijiguao
,HAR_PL,Harina Plátano
,HE_MO ,Helado Moriche
,HE_SE,Helado  seje
,HE_SM ,MangoSejeMoriche
,HI_TA,Hijo Tamari
,HO_HA,Hojas Hallacas
,HU_PA,Huevas Payara
,HU_GA, Huevos Gallina
,HU_TE, Huevos Terecay
,JEN,Jengibre
,JU_CO,Jugo Copoasú
,JU_MA, Jugo Manaca
,JU_SE,Jugo Seje
,JU_SPQ,Jugo SejePq
,LAI,Lairen
,LECH ,Lechosa
,L_BRA,Limón brasilero
,LIM,Limón criollo
,M_CA ,Maíz Cariaco
,JOJ, Maíz jojoto
,MAMO ,Mamón
,MAMU , Mamure
,MANA , Manaca
,MAND ,Mandarinas
,MNTQ ,Mantequilla llanera
,MAÑ_P,Mañoco Pijiguao
,MAÑo ,Mañoco
,MAP,Mapuey
,M_MOR,Masa  moriche
,M_CCH,MasaCachapa
,MAZ,Mazuca
,ME,Merey tostado
,MIEL ,Miel
,MI_AR, Miel  Arica y africana
,MRCH ,Moriche  pepa
,MORO ,Morocoto
,MORO_,Morocoto Caldumero
,MORO_,Morocoto Piedrero
,NA ,Naranjas
,NJLLO,Naranjillo
,ÑAM,Ñame
,OCU, Ocumo
,OCU_C,Ocumo chino
,MAP_S,Mapuey sancochado
,ONOT ,Onoto
,ORE,Orégano
,PLTA ,Palometa
,PAR_M,Parchita  monte
,P_MRC,Pasta  moriche
,PVN_L, Pavón Lapa
,PAY,Payara
,PAY_A, Payara asada
,PEN,Pendare
,PES_A ,Pesc asado
,PES_E,Pesc Asado Embojotao
,PES_AS, Pesc asado Sarta
,PES_T,Pesc Asado Trenzado
,PES_S,Pesc en Sarta
,PES_P,Pesc Pilao
,PIC ,Picúa
,PIJ ,Pijiguao
,PIJ_S,Pijiguao sancochado
,PIÑ , Piña
,POL ,Pollo
,P_COP,Pulpa  CopoasU
,QS_LL,Queso llanero
,RAY ,Bagre Rayado
,SAPO ,Sapoara
,SARD_A,Sardinata Asada
,SAR_P,Sarta Pesc fresco
,SEJ_G, Seje Grande
,SEJ_P,Seje Pequeño
,TEM ,Temare
,TEMT ,Temarito
,TOM ,Tomate
,TOT ,Galápago
,TUPT ,Tupirito
,TUP ,Túpiro
,VQR ,Váquiro
,VQR_A,Váquiro asado
,YAR ,Yare
,YUCA ,Yuca
,YCT_M,Yucuta Manaca
,YURI ,Yuri
,TOP ,Topocho
,SEM_C,Semilla titiaro
,PLA,Platano
,CAMB,Cambur
,CAMB_M,Cambur manzano
,CAMB_T,Cambur titiaro
,LAPA,Lapa
,Niña,Niña
